true,pred,prob
0,0,"[0.7167814373970032, 0.18416760861873627, 0.09905091673135757]"
1,1,"[0.015436370857059956, 0.9845544695854187, 9.123297786572948e-06]"
2,0,"[0.6753329634666443, 0.13957947492599487, 0.18508757650852203]"
0,0,"[0.7492528557777405, 0.18859358131885529, 0.062153562903404236]"
0,0,"[0.9618595242500305, 0.008199617266654968, 0.029940787702798843]"
0,0,"[0.6390438079833984, 0.3183957040309906, 0.04256056249141693]"
0,0,"[0.5763543248176575, 0.23453198373317719, 0.18911363184452057]"
2,2,"[0.3772943317890167, 0.11913047730922699, 0.5035752058029175]"
2,2,"[0.040545497089624405, 0.08294878154993057, 0.8765057325363159]"
0,0,"[0.945658802986145, 0.03645453229546547, 0.01788679137825966]"
0,0,"[0.8712462186813354, 0.12168166786432266, 0.007072058040648699]"
0,0,"[0.9438177943229675, 0.05555308982729912, 0.0006291730678640306]"
2,2,"[0.03785969316959381, 0.1479932814836502, 0.8141470551490784]"
2,2,"[0.002834560349583626, 0.009169924072921276, 0.987995445728302]"
1,1,"[0.032223332673311234, 0.9677765965461731, 1.1107537289944958e-07]"
1,1,"[0.0022980656940490007, 0.9976333379745483, 6.861500150989741e-05]"
1,1,"[0.002611334202811122, 0.9973703622817993, 1.8315349734621122e-05]"
1,1,"[0.001278537674807012, 0.9981344938278198, 0.0005868893931619823]"
2,2,"[0.04110096022486687, 0.05060273036360741, 0.9082962274551392]"
1,1,"[0.000634525902569294, 0.9988042116165161, 0.0005613003741018474]"
0,0,"[0.7098850607872009, 0.26767510175704956, 0.02243983931839466]"
0,2,"[0.013936062343418598, 0.1378103643655777, 0.848253607749939]"
1,1,"[0.002973780035972595, 0.9962132573127747, 0.0008128967019729316]"
0,0,"[0.9968196153640747, 0.00307237240485847, 0.00010798456787597388]"
1,1,"[0.0009157510939985514, 0.9984902143478394, 0.0005940512637607753]"
0,0,"[0.6774753928184509, 0.1931048482656479, 0.1294197142124176]"
2,2,"[0.008624415844678879, 0.028966080397367477, 0.9624094367027283]"
1,1,"[0.02152887172996998, 0.9784618616104126, 9.2638319983962e-06]"
2,2,"[0.0007476950413547456, 0.004360304679721594, 0.9948920011520386]"
0,0,"[0.6048280596733093, 0.03242097049951553, 0.36275097727775574]"
2,2,"[0.05311894416809082, 0.2189994603395462, 0.7278815507888794]"
1,1,"[0.003429946955293417, 0.9955111742019653, 0.001058863359503448]"
0,0,"[0.9745764136314392, 0.01828141324222088, 0.007142188493162394]"
0,0,"[0.995829164981842, 0.004144109319895506, 2.671341826498974e-05]"
1,1,"[0.06317964196205139, 0.9134461283683777, 0.023374196141958237]"
1,1,"[8.44189926283434e-05, 0.9996984004974365, 0.00021716172341257334]"
1,1,"[0.0009105128119699657, 0.9967014193534851, 0.002388001885265112]"
1,1,"[0.0016947294352576137, 0.9979666471481323, 0.000338606332661584]"
0,0,"[0.7395612597465515, 0.11864852905273438, 0.1417902708053589]"
2,2,"[0.12596747279167175, 0.04721430689096451, 0.8268181681632996]"
1,2,"[0.0014917892403900623, 0.014346342533826828, 0.9841618537902832]"
1,1,"[0.004226378630846739, 0.9957127571105957, 6.092878174968064e-05]"
2,0,"[0.6943920254707336, 0.12521487474441528, 0.18039312958717346]"
1,1,"[0.003780300496146083, 0.9959937334060669, 0.0002259484026581049]"
0,0,"[0.9806885719299316, 0.018522029742598534, 0.0007893760921433568]"
0,0,"[0.6621371507644653, 0.01889808289706707, 0.31896477937698364]"
1,1,"[0.001000140211544931, 0.9984482526779175, 0.0005515871453098953]"
1,1,"[0.00025438712327741086, 0.999711811542511, 3.379329064046033e-05]"
0,1,"[0.23584407567977905, 0.5770973563194275, 0.18705855309963226]"
0,0,"[0.9828327298164368, 0.010916083119809628, 0.006251278333365917]"
0,0,"[0.8766619563102722, 0.03606729581952095, 0.08727075904607773]"
0,0,"[0.8942884206771851, 0.013226421549916267, 0.09248508512973785]"
2,2,"[0.08505983650684357, 0.10110009461641312, 0.8138400912284851]"
2,1,"[0.18261195719242096, 0.6847351789474487, 0.1326528638601303]"
2,2,"[0.21229799091815948, 0.05103176459670067, 0.736670196056366]"
2,2,"[0.06398754566907883, 0.28663507103919983, 0.6493774056434631]"
0,0,"[0.9454193711280823, 0.030039604753255844, 0.024540992453694344]"
1,1,"[0.00048151795635931194, 0.9993236064910889, 0.00019483630603644997]"
0,0,"[0.4955699145793915, 0.083893783390522, 0.4205363094806671]"
1,1,"[0.0003662665840238333, 0.9993415474891663, 0.00029217946575954556]"
0,0,"[0.7101273536682129, 0.04602570831775665, 0.24384692311286926]"
0,0,"[0.5739431381225586, 0.06320806592702866, 0.36284878849983215]"
0,0,"[0.981816291809082, 0.0098166698589921, 0.008367097936570644]"
0,0,"[0.9229475259780884, 0.07228028774261475, 0.004772217012941837]"
0,0,"[0.98592209815979, 0.014021307229995728, 5.652367326547392e-05]"
0,0,"[0.974105954170227, 0.02182929217815399, 0.004064757376909256]"
2,2,"[0.21335840225219727, 0.10111794620752335, 0.6855236291885376]"
1,1,"[0.01605301909148693, 0.9838808178901672, 6.615309393964708e-05]"
0,0,"[0.9850782155990601, 0.013611149974167347, 0.001310633379034698]"
2,2,"[0.1596716046333313, 0.024329600855708122, 0.8159987926483154]"
0,0,"[0.6989001631736755, 0.288398414850235, 0.012701465748250484]"
0,0,"[0.7160950303077698, 0.1627737283706665, 0.12113124877214432]"
2,2,"[0.023881133645772934, 0.07866277545690536, 0.8974560499191284]"
0,0,"[0.6569399237632751, 0.23751215636730194, 0.10554786771535873]"
2,2,"[0.14933465421199799, 0.028954045847058296, 0.8217113614082336]"
2,2,"[0.033121541142463684, 0.13538499176502228, 0.8314934372901917]"
0,0,"[0.9589223861694336, 0.015631748363375664, 0.02544586919248104]"
1,1,"[0.0031706043519079685, 0.9964413046836853, 0.00038807603414170444]"
1,1,"[0.016580989584326744, 0.983364999294281, 5.3987798310117796e-05]"
1,1,"[0.022061804309487343, 0.9779362678527832, 2.0037452941323863e-06]"
2,2,"[0.06660515069961548, 0.25353312492370605, 0.6798617243766785]"
1,1,"[0.001284068333916366, 0.9963223934173584, 0.0023935302160680294]"
2,1,"[0.08514649420976639, 0.4889790713787079, 0.42587438225746155]"
2,2,"[0.07576102763414383, 0.3946171700954437, 0.5296217799186707]"
1,1,"[0.2526373863220215, 0.665212094783783, 0.08215049654245377]"
0,0,"[0.9922690987586975, 0.007329246494919062, 0.0004017096944153309]"
0,0,"[0.8964129090309143, 0.030709901824593544, 0.0728771910071373]"
0,0,"[0.6339735388755798, 0.35096749663352966, 0.015058958902955055]"
0,0,"[0.840986967086792, 0.13214772939682007, 0.02686532959342003]"
0,2,"[0.2852937877178192, 0.3032681941986084, 0.4114380180835724]"
1,1,"[0.174763485789299, 0.7162114381790161, 0.1090250089764595]"
2,2,"[0.31542909145355225, 0.0946580097079277, 0.5899128317832947]"
1,1,"[0.032604970037937164, 0.967340886592865, 5.418078217189759e-05]"
0,0,"[0.8678827285766602, 0.05701446533203125, 0.0751027911901474]"
2,2,"[0.14368610084056854, 0.040767621248960495, 0.8155462741851807]"
1,1,"[8.532097126590088e-05, 0.9992801547050476, 0.0006345739820972085]"
2,2,"[0.08329317718744278, 0.31103968620300293, 0.6056671142578125]"
1,2,"[0.0636277124285698, 0.34638267755508423, 0.5899896025657654]"
0,0,"[0.6779010891914368, 0.30435463786125183, 0.017744209617376328]"
0,0,"[0.7438559532165527, 0.10062973946332932, 0.15551427006721497]"
1,1,"[0.002436503069475293, 0.997516393661499, 4.713703674497083e-05]"
2,2,"[0.27018916606903076, 0.03787326440215111, 0.6919376254081726]"
0,0,"[0.9952971339225769, 0.004683844745159149, 1.8976435967488214e-05]"
1,2,"[0.021093469113111496, 0.09801217168569565, 0.8808943629264832]"
1,1,"[0.21434149146080017, 0.7529433369636536, 0.03271517530083656]"
1,1,"[0.026196420192718506, 0.9736238718032837, 0.00017971391207538545]"
1,1,"[0.00012076274288119748, 0.9998264908790588, 5.2796192903770134e-05]"
1,2,"[0.014412367716431618, 0.03349082171916962, 0.952096700668335]"
2,2,"[0.03494618833065033, 0.11676423251628876, 0.8482895493507385]"
1,2,"[0.09396924078464508, 0.025855062529444695, 0.8801757097244263]"
1,2,"[0.006027763709425926, 0.014801382087171078, 0.9791709184646606]"
0,0,"[0.941548764705658, 0.057165712118148804, 0.0012854717206209898]"
0,0,"[0.9942547678947449, 0.005685838870704174, 5.937860260019079e-05]"
2,2,"[0.10729774087667465, 0.1271536499261856, 0.7655486464500427]"
1,1,"[0.006058600265532732, 0.9937331080436707, 0.00020830640278290957]"
0,0,"[0.777788519859314, 0.06564544141292572, 0.1565660983324051]"
0,0,"[0.8948653340339661, 0.10456419736146927, 0.0005704735522158444]"
1,1,"[0.0033850325271487236, 0.9965634942054749, 5.1449682359816507e-05]"
1,1,"[0.008550582453608513, 0.9846190810203552, 0.006830332800745964]"
1,1,"[4.70650993520394e-05, 0.9999322891235352, 2.0618008420569822e-05]"
1,1,"[0.0027263062074780464, 0.9968340992927551, 0.0004395610885694623]"
1,1,"[0.00011535805242601782, 0.9997051358222961, 0.00017943726561497897]"
0,0,"[0.9354796409606934, 0.06441697478294373, 0.00010332432430004701]"
2,2,"[0.021334808319807053, 0.0708690732717514, 0.9077960848808289]"
2,2,"[0.11486505717039108, 0.42495089769363403, 0.4601840078830719]"
1,1,"[0.007146061398088932, 0.9928489923477173, 4.976107902621152e-06]"
0,0,"[0.9582648277282715, 0.02455361932516098, 0.01718161813914776]"
2,2,"[0.00016826982027851045, 0.007479701191186905, 0.9923520684242249]"
1,1,"[0.0005372407613322139, 0.9992629885673523, 0.00019981303194072098]"
1,1,"[0.0014991824282333255, 0.998487114906311, 1.3720825336349662e-05]"
0,0,"[0.6798199415206909, 0.13624440133571625, 0.18393565714359283]"
0,0,"[0.759918749332428, 0.23189127445220947, 0.008189975284039974]"
1,1,"[0.24874185025691986, 0.7491962313652039, 0.0020619574934244156]"
1,1,"[0.0037049457896500826, 0.9962621331214905, 3.2910844311118126e-05]"
1,1,"[0.363876610994339, 0.47583749890327454, 0.16028589010238647]"
2,0,"[0.6914601922035217, 0.1818867027759552, 0.12665307521820068]"
1,1,"[0.0007808098453097045, 0.9989755153656006, 0.00024370495520997792]"
0,0,"[0.7601732611656189, 0.16188809275627136, 0.07793863862752914]"
2,2,"[0.013850865885615349, 0.035837866365909576, 0.9503111839294434]"
2,2,"[0.0056153410114347935, 0.01275794580578804, 0.9816266298294067]"
1,1,"[0.00042160521843470633, 0.9986774325370789, 0.000900988990906626]"
0,0,"[0.9750105738639832, 0.016587592661380768, 0.008401790633797646]"
0,2,"[0.1596168577671051, 0.03960026800632477, 0.8007828593254089]"
2,1,"[0.07928506284952164, 0.46936649084091187, 0.45134851336479187]"
0,0,"[0.777353823184967, 0.22066962718963623, 0.001976532395929098]"
0,0,"[0.7129223346710205, 0.2498817890882492, 0.03719582036137581]"
0,0,"[0.8499384522438049, 0.14739108085632324, 0.0026703618932515383]"
1,1,"[0.005396622233092785, 0.994528591632843, 7.482463115593418e-05]"
2,2,"[0.03633439168334007, 0.09125834703445435, 0.8724073171615601]"
2,2,"[0.32583555579185486, 0.02644401788711548, 0.6477203965187073]"
1,2,"[0.01899363286793232, 0.10005953907966614, 0.8809468746185303]"
1,1,"[0.000878293823916465, 0.9990922212600708, 2.9504728445317596e-05]"
2,2,"[0.04220027104020119, 0.14552593231201172, 0.8122738003730774]"
0,2,"[0.05976766347885132, 0.28654760122299194, 0.6536847352981567]"
0,0,"[0.9106824994087219, 0.08478326350450516, 0.004534217528998852]"
0,0,"[0.9844939112663269, 0.015327532775700092, 0.0001784550549928099]"
0,0,"[0.9496701955795288, 0.027784643694758415, 0.022545062005519867]"
1,1,"[0.004551568068563938, 0.9954010248184204, 4.733656169264577e-05]"
1,1,"[0.0028999531641602516, 0.9966913461685181, 0.0004087185952812433]"
1,1,"[0.0008619853178970516, 0.9964255690574646, 0.0027124490588903427]"
1,1,"[0.009286515414714813, 0.9906098246574402, 0.0001036563262459822]"
0,0,"[0.8790571093559265, 0.10417179018259048, 0.01677103340625763]"
2,2,"[0.08970404416322708, 0.3382866382598877, 0.5720093250274658]"
2,2,"[0.06854625791311264, 0.3358635902404785, 0.5955901145935059]"
0,0,"[0.6960670948028564, 0.2011331468820572, 0.10279981046915054]"
0,0,"[0.6729073524475098, 0.23996376991271973, 0.08712886273860931]"
2,2,"[0.06259270757436752, 0.028890399262309074, 0.9085168838500977]"
1,1,"[0.0014282114570960402, 0.9985249638557434, 4.685860039899126e-05]"
1,1,"[0.010732297785580158, 0.9892338514328003, 3.383843431947753e-05]"
1,1,"[0.0012921378947794437, 0.9986116886138916, 9.617521573090926e-05]"
0,0,"[0.6832584142684937, 0.07328670471906662, 0.2434549182653427]"
2,2,"[0.15446801483631134, 0.051932740956544876, 0.7935993075370789]"
0,0,"[0.5401245951652527, 0.035968635231256485, 0.4239068031311035]"
0,0,"[0.7710274457931519, 0.22517605125904083, 0.0037965127266943455]"
2,2,"[0.07487593591213226, 0.3430212438106537, 0.5821028351783752]"
1,2,"[0.004675324074923992, 0.01766459085047245, 0.977660059928894]"
0,0,"[0.5850448608398438, 0.15985044836997986, 0.25510475039482117]"
1,1,"[0.0032322676852345467, 0.9962640404701233, 0.0005036594811826944]"
0,0,"[0.585212767124176, 0.27896028757095337, 0.1358269602060318]"
1,1,"[0.0002850765304174274, 0.9996578693389893, 5.706904994440265e-05]"
0,0,"[0.9548145532608032, 0.03336134925484657, 0.011824092827737331]"
2,2,"[0.34276631474494934, 0.02815658412873745, 0.6290770769119263]"
1,1,"[0.0014078380772843957, 0.9981843829154968, 0.0004077532794326544]"
1,1,"[0.30668407678604126, 0.679527997970581, 0.013787934556603432]"
2,1,"[0.1371140480041504, 0.5614296197891235, 0.3014563322067261]"
2,2,"[0.11891409754753113, 0.29078084230422974, 0.5903050303459167]"
0,0,"[0.6671516299247742, 0.16159845888614655, 0.17124992609024048]"
0,0,"[0.9466239809989929, 0.051370032131671906, 0.0020060038659721613]"
0,0,"[0.9969633221626282, 0.0022805475164204836, 0.0007560747326351702]"
1,1,"[0.0005641451571136713, 0.9986121654510498, 0.0008237006841227412]"
2,2,"[0.19633963704109192, 0.026029089465737343, 0.7776312828063965]"
2,2,"[0.06301766633987427, 0.2772429585456848, 0.6597393155097961]"
0,0,"[0.9736682772636414, 0.01832387037575245, 0.008007832802832127]"
2,2,"[0.06030610576272011, 0.016759173944592476, 0.9229347109794617]"
2,2,"[0.33559465408325195, 0.0872887372970581, 0.5771165490150452]"
1,1,"[0.0006721700774505734, 0.9992198944091797, 0.00010789150110213086]"
1,0,"[0.9205651879310608, 0.07134872674942017, 0.008086061105132103]"
0,2,"[0.3635343611240387, 0.06398658454418182, 0.5724791288375854]"
2,2,"[0.08147552609443665, 0.04504915699362755, 0.8734753131866455]"
0,0,"[0.8964129090309143, 0.030709901824593544, 0.0728771910071373]"
2,0,"[0.5714247822761536, 0.25294336676597595, 0.17563185095787048]"
0,2,"[0.041967183351516724, 0.10393626242876053, 0.854096531867981]"
0,0,"[0.8954489827156067, 0.0827491506934166, 0.021801836788654327]"
0,2,"[0.24898192286491394, 0.14857041835784912, 0.6024476289749146]"
0,0,"[0.6880506277084351, 0.27666381001472473, 0.03528553247451782]"
1,1,"[0.15106907486915588, 0.7567694783210754, 0.09216149896383286]"
0,0,"[0.4574858546257019, 0.37577489018440247, 0.16673924028873444]"
2,2,"[0.060639649629592896, 0.25488460063934326, 0.6844756603240967]"
2,2,"[0.060422632843256, 0.25920480489730835, 0.6803725957870483]"
1,2,"[0.16580092906951904, 0.2658706605434418, 0.5683284401893616]"
1,1,"[0.0005387506098486483, 0.9990826845169067, 0.00037860299926251173]"
0,0,"[0.9075767993927002, 0.09168827533721924, 0.0007349005900323391]"
2,0,"[0.8185153007507324, 0.0832415521144867, 0.0982430949807167]"
2,2,"[0.04674911126494408, 0.14425015449523926, 0.8090007305145264]"
0,0,"[0.8598241806030273, 0.08248917013406754, 0.05768665298819542]"
2,2,"[0.06659334897994995, 0.032219670712947845, 0.9011868834495544]"
2,0,"[0.6102088093757629, 0.023810409009456635, 0.3659808039665222]"
2,2,"[0.41885051131248474, 0.026432570070028305, 0.554716944694519]"
0,0,"[0.9678651094436646, 0.004201546777039766, 0.02793341688811779]"
2,0,"[0.3873060941696167, 0.25488704442977905, 0.35780686140060425]"
1,1,"[0.001313547370955348, 0.9984478950500488, 0.00023856136249378324]"
1,1,"[0.09262633323669434, 0.9073733687400818, 2.9318772476472077e-07]"
2,2,"[0.016368018463253975, 0.04039294645190239, 0.9432390928268433]"
1,1,"[0.0008596756379120052, 0.9984379410743713, 0.0007023712387308478]"
0,0,"[0.9603846073150635, 0.031924083828926086, 0.007691320031881332]"
0,0,"[0.9064887762069702, 0.06347049027681351, 0.030040720477700233]"
0,0,"[0.7539846897125244, 0.10747841745615005, 0.13853690028190613]"
0,0,"[0.9923768043518066, 0.007597117684781551, 2.6054529371322133e-05]"
0,1,"[0.44508764147758484, 0.539585292339325, 0.01532710250467062]"
2,0,"[0.6040406823158264, 0.10118396580219269, 0.2947753667831421]"
0,0,"[0.9611044526100159, 0.03164499253034592, 0.007250646594911814]"
0,0,"[0.4739220440387726, 0.3867456316947937, 0.13933230936527252]"
2,2,"[0.000192449995665811, 0.0044227587059140205, 0.9953847527503967]"
2,2,"[0.0820113867521286, 0.4345068633556366, 0.4834817051887512]"
2,2,"[0.37144678831100464, 0.0650189071893692, 0.5635343790054321]"
0,0,"[0.4925578534603119, 0.1330077052116394, 0.3744344413280487]"
0,0,"[0.8496649861335754, 0.04002314805984497, 0.11031188815832138]"
2,2,"[0.4395590126514435, 0.012210626155138016, 0.5482302904129028]"
0,0,"[0.9494277238845825, 0.042042408138513565, 0.008529836311936378]"
2,2,"[0.08716084808111191, 0.41851434111595154, 0.49432480335235596]"
0,0,"[0.6878692507743835, 0.05532802268862724, 0.2568027079105377]"
2,1,"[0.10431945323944092, 0.7056691646575928, 0.19001136720180511]"
0,0,"[0.9915515184402466, 0.006206754129379988, 0.002241740934550762]"
2,2,"[0.0012480949517339468, 0.005692100152373314, 0.9930598735809326]"
2,2,"[0.3443808853626251, 0.06312496960163116, 0.5924940705299377]"
1,2,"[0.03337288647890091, 0.08545225113630295, 0.8811749219894409]"
0,2,"[0.3320263922214508, 0.21202071011066437, 0.45595285296440125]"
0,0,"[0.9425793290138245, 0.013599729165434837, 0.04382096230983734]"
0,1,"[0.1602475941181183, 0.6698823571205139, 0.1698700189590454]"
1,1,"[0.14138056337833405, 0.8586181998252869, 1.2563021982714417e-06]"
1,0,"[0.6227810978889465, 0.27595391869544983, 0.10126499086618423]"
2,2,"[0.001385203213430941, 0.27275919914245605, 0.7258555293083191]"
1,1,"[0.017009280622005463, 0.5685766935348511, 0.41441401839256287]"
1,1,"[0.0016829946544021368, 0.9946198463439941, 0.00369718624278903]"
0,0,"[0.8021026849746704, 0.06183791533112526, 0.13605937361717224]"
0,0,"[0.9226986765861511, 0.07690039277076721, 0.0004008921969216317]"
0,0,"[0.5449436902999878, 0.3987492024898529, 0.056307148188352585]"
0,0,"[0.9263239502906799, 0.027708731591701508, 0.04596735164523125]"
1,1,"[0.009506107307970524, 0.9904869198799133, 6.923814453330124e-06]"
2,2,"[0.36092445254325867, 0.21886147558689117, 0.4202140271663666]"
1,1,"[0.007922390475869179, 0.6103673577308655, 0.3817102313041687]"
1,1,"[0.0022841140162199736, 0.9971683621406555, 0.0005475530633702874]"
1,1,"[0.015423789620399475, 0.9845497608184814, 2.6496061764191836e-05]"
2,2,"[0.03282769396901131, 0.11294983327388763, 0.8542225360870361]"
2,2,"[0.09978735446929932, 0.3361232280731201, 0.5640894174575806]"
0,0,"[0.9837861657142639, 0.014428408816456795, 0.0017854314064607024]"
2,2,"[0.3488919734954834, 0.07795695960521698, 0.5731510519981384]"
1,1,"[0.00018048682250082493, 0.9998076558113098, 1.1915992217836902e-05]"
2,2,"[0.0579504668712616, 0.28775230050086975, 0.6542972326278687]"
2,2,"[0.025943739339709282, 0.07702411711215973, 0.8970321416854858]"
0,0,"[0.8724943399429321, 0.04400341212749481, 0.08350235968828201]"
0,0,"[0.9855243563652039, 0.013972989283502102, 0.000502613780554384]"
1,1,"[0.00035844705416820943, 0.9994708895683289, 0.00017063520499505103]"
1,1,"[0.000625966174993664, 0.9990566372871399, 0.00031745556043460965]"
2,2,"[0.045455802232027054, 0.1087881401181221, 0.8457560539245605]"
1,1,"[5.247984518064186e-05, 0.99983811378479, 0.00010941620712401345]"
1,2,"[0.0030778124928474426, 0.009631598368287086, 0.9872905611991882]"
1,1,"[0.021717494353652, 0.8466501235961914, 0.13163238763809204]"
1,1,"[0.0003650544094853103, 0.9996236562728882, 1.121535933634732e-05]"
0,0,"[0.7684390544891357, 0.23072059452533722, 0.0008403582032769918]"
2,2,"[0.2783188819885254, 0.02565574459731579, 0.6960253715515137]"
2,2,"[0.21203377842903137, 0.07397563755512238, 0.7139905691146851]"
0,1,"[0.33289825916290283, 0.3367028534412384, 0.3303988575935364]"
1,1,"[0.000532772799488157, 0.9984819293022156, 0.000985356280580163]"
0,0,"[0.4996940493583679, 0.48314112424850464, 0.01716485060751438]"
0,0,"[0.9310100078582764, 0.0687231495976448, 0.00026685369084589183]"
0,0,"[0.8873343467712402, 0.09022068977355957, 0.0224449560046196]"
1,2,"[0.0006843775045126677, 0.0034556807950139046, 0.9958599209785461]"
0,0,"[0.7974268198013306, 0.20202092826366425, 0.0005523410509340465]"
0,0,"[0.6413925886154175, 0.34684985876083374, 0.01175758522003889]"
0,0,"[0.9278376698493958, 0.008953711949288845, 0.06320858001708984]"
2,0,"[0.5680553317070007, 0.10489967465400696, 0.3270449936389923]"
1,1,"[0.07321175187826157, 0.6634020805358887, 0.26338618993759155]"
0,0,"[0.5642387866973877, 0.0756322592496872, 0.3601289987564087]"
2,2,"[0.04159693047404289, 0.1379743367433548, 0.820428729057312]"
0,1,"[0.20925772190093994, 0.7702357769012451, 0.02050648257136345]"
2,2,"[0.08686351776123047, 0.3610083758831024, 0.5521280765533447]"
1,1,"[7.1803601713327225e-06, 0.9999198913574219, 7.296172407222912e-05]"
0,0,"[0.914512574672699, 0.07885072380304337, 0.00663676206022501]"
1,1,"[0.008476338349282742, 0.9914514422416687, 7.225498848129064e-05]"
1,1,"[0.007890329696238041, 0.9920916557312012, 1.8020951756625436e-05]"
1,1,"[0.010737934149801731, 0.9885162115097046, 0.000745845609344542]"
0,0,"[0.9066706299781799, 0.0749591737985611, 0.018370207399129868]"
0,0,"[0.9917410612106323, 0.00810422096401453, 0.00015472473751287907]"
