true,pred,prob
0,0,"[0.9884371161460876, 0.0025330702774226665, 0.0090296920388937]"
1,1,"[2.770678434946272e-12, 1.0, 2.799746969651902e-16]"
1,1,"[3.4558800052764127e-06, 0.999996542930603, 1.6276688330485456e-11]"
2,2,"[0.20829841494560242, 0.2118213027715683, 0.5798802971839905]"
2,2,"[0.055099621415138245, 0.0069082388654351234, 0.9379922151565552]"
0,0,"[0.9987699389457703, 0.0012220722856000066, 7.942663614812773e-06]"
2,2,"[0.31915000081062317, 0.00708341458812356, 0.6737664937973022]"
1,1,"[1.3369107036698136e-11, 1.0, 2.825210226355124e-13]"
0,0,"[0.8350310921669006, 0.1259603500366211, 0.039008621126413345]"
2,2,"[0.2490677684545517, 0.0012662357185035944, 0.7496659755706787]"
1,2,"[0.006496282760053873, 0.198379248380661, 0.7951244711875916]"
0,0,"[0.9795570373535156, 0.02043764479458332, 5.384779342421098e-06]"
2,2,"[0.00946145411580801, 0.16944625973701477, 0.8210923075675964]"
1,1,"[7.81969432782359e-13, 1.0, 2.0560115431998358e-15]"
0,0,"[0.5160414576530457, 0.01562766544520855, 0.46833091974258423]"
0,0,"[0.9980471134185791, 0.0019369827350601554, 1.5925847037578933e-05]"
0,0,"[0.9958761930465698, 0.003911800682544708, 0.0002120626886608079]"
0,1,"[0.04141412675380707, 0.9583162665367126, 0.00026955828070640564]"
2,2,"[0.1052805706858635, 0.15477201342582703, 0.7399473786354065]"
1,1,"[2.5912194612232042e-09, 1.0, 1.0750075281991053e-13]"
2,2,"[0.006047376431524754, 0.14181308448314667, 0.8521395921707153]"
2,2,"[0.0012049590004608035, 0.21460887789726257, 0.7841861844062805]"
0,0,"[0.9215953946113586, 0.0019097656477242708, 0.07649490237236023]"
0,0,"[0.9198657274246216, 0.005817481782287359, 0.07431671768426895]"
1,1,"[4.2809527624199095e-12, 1.0, 5.272303640625189e-16]"
1,1,"[7.353020102518482e-12, 1.0, 4.049704839591099e-14]"
1,1,"[5.203736747061427e-13, 1.0, 1.1148957625162215e-11]"
0,0,"[0.6589588522911072, 0.06855811178684235, 0.27248305082321167]"
1,1,"[3.8850444070703816e-06, 0.9999960660934448, 4.801584019276106e-09]"
2,0,"[0.7146942615509033, 0.007328242063522339, 0.27797752618789673]"
0,0,"[0.9926457405090332, 0.0019555825274437666, 0.00539868138730526]"
0,0,"[0.9734939336776733, 0.013444788753986359, 0.013061245903372765]"
0,0,"[0.9892125129699707, 0.009902914054691792, 0.0008845606935210526]"
0,0,"[0.9862239360809326, 0.013633343391120434, 0.00014276296133175492]"
2,2,"[0.12889522314071655, 0.09479627013206482, 0.7763084769248962]"
2,2,"[0.0034459298476576805, 0.1163187175989151, 0.8802353143692017]"
0,0,"[0.9925814867019653, 0.007161268033087254, 0.0002572466619312763]"
0,0,"[0.9985182881355286, 0.00048723912914283574, 0.00099450524430722]"
0,0,"[0.9267165064811707, 0.07327725738286972, 6.247665169212269e-06]"
2,2,"[0.002997523872181773, 0.08526588976383209, 0.9117366671562195]"
2,2,"[0.004708327353000641, 0.3896336853504181, 0.6056579947471619]"
1,1,"[0.035001832991838455, 0.9649981260299683, 3.844599749669442e-09]"
1,1,"[1.6637953192538961e-16, 1.0, 2.588104155553051e-19]"
1,1,"[8.705011809041069e-14, 1.0, 5.70195365849442e-18]"
1,1,"[6.779395838110713e-13, 1.0, 1.0503889560442917e-14]"
2,2,"[0.11646746098995209, 0.03952176868915558, 0.8440107703208923]"
1,1,"[5.1693502811644976e-09, 1.0, 2.557505041078656e-10]"
0,1,"[0.17988190054893494, 0.8159195780754089, 0.0041985539719462395]"
0,0,"[0.861293375492096, 0.09976504743099213, 0.038941532373428345]"
1,1,"[2.686865729906174e-10, 1.0, 1.5351499097534388e-13]"
0,0,"[0.7950991988182068, 0.20489290356636047, 7.929103048809338e-06]"
1,1,"[1.1479395906066614e-10, 1.0, 1.2988516512324466e-11]"
0,0,"[0.5581010580062866, 0.07758325338363647, 0.36431562900543213]"
2,2,"[0.003974833991378546, 0.2594742476940155, 0.7365508675575256]"
1,1,"[2.725591002672445e-05, 0.9999727010726929, 2.3917777980386745e-08]"
2,1,"[0.004473255481570959, 0.7287005186080933, 0.2668262720108032]"
0,0,"[0.5586537718772888, 0.41886067390441895, 0.022485535591840744]"
2,2,"[0.004937833175063133, 0.13414835929870605, 0.860913872718811]"
1,1,"[5.637565414495782e-11, 1.0, 4.21874415555603e-14]"
0,0,"[0.880598247051239, 0.11896330863237381, 0.000438481307355687]"
0,0,"[0.9646680951118469, 0.03533194959163666, 2.1064174404727964e-08]"
1,1,"[0.040098756551742554, 0.9598957896232605, 5.495333880389808e-06]"
1,1,"[5.220201874933661e-12, 1.0, 4.040943794858531e-12]"
1,1,"[2.64545191308585e-10, 1.0, 1.6650957002095623e-10]"
1,1,"[1.9510199011918417e-11, 1.0, 1.6041229217340913e-13]"
0,0,"[0.8971051573753357, 0.009419018402695656, 0.09347578883171082]"
2,2,"[0.07239172607660294, 0.0012221342185512185, 0.9263861179351807]"
1,1,"[0.011635742150247097, 0.9880948662757874, 0.0002694679133128375]"
1,1,"[4.826886806919006e-11, 1.0, 8.127020242757257e-14]"
2,0,"[0.88843834400177, 0.07443621009588242, 0.037125490605831146]"
1,1,"[1.3036771662200408e-10, 1.0, 1.1951199849636468e-13]"
0,0,"[0.9994462132453918, 0.000509672041516751, 4.405876461532898e-05]"
0,0,"[0.9434410333633423, 0.05602620914578438, 0.0005328098777681589]"
1,1,"[4.236834438842152e-09, 1.0, 3.3016880895964107e-10]"
1,1,"[4.806225031947931e-15, 1.0, 3.61442731150609e-18]"
0,0,"[0.849797785282135, 0.15019646286964417, 5.795152446808061e-06]"
0,0,"[0.9975497126579285, 0.002380611142143607, 6.963646592339501e-05]"
0,0,"[0.9871473908424377, 0.0012110143434256315, 0.011641615070402622]"
0,0,"[0.9863786697387695, 0.012508654966950417, 0.0011127067264169455]"
2,2,"[0.36433151364326477, 0.1148100346326828, 0.5208584666252136]"
2,1,"[0.0014796832110732794, 0.9941160678863525, 0.004404174629598856]"
2,2,"[0.027846872806549072, 6.044153997208923e-05, 0.9720926284790039]"
2,2,"[0.09232649952173233, 0.3484821915626526, 0.5591912269592285]"
0,0,"[0.8932545781135559, 0.10330823063850403, 0.0034372257068753242]"
1,1,"[1.1182104775551288e-13, 1.0, 2.4893974329701562e-15]"
0,0,"[0.915937066078186, 0.0016988839488476515, 0.0823640450835228]"
1,1,"[7.013948449818841e-11, 1.0, 2.1426945287505994e-11]"
0,0,"[0.8204396963119507, 0.0019516600295901299, 0.17760859429836273]"
0,0,"[0.7978532314300537, 0.0007724334136582911, 0.20137441158294678]"
0,0,"[0.997832715511322, 0.001491919974796474, 0.0006753505440428853]"
0,0,"[0.993319034576416, 0.006680658087134361, 3.708403255586745e-07]"
0,1,"[0.07544964551925659, 0.9245497584342957, 6.612122547267063e-07]"
0,0,"[0.5463632345199585, 0.0027918184641748667, 0.45084497332572937]"
2,2,"[0.186971515417099, 0.005388437770307064, 0.8076400756835938]"
1,1,"[4.160111654032822e-13, 1.0, 2.1256391073020173e-18]"
0,0,"[0.8050777316093445, 0.1945682018995285, 0.00035401902277953923]"
2,2,"[0.08721869438886642, 0.0015645049279555678, 0.9112167954444885]"
0,0,"[0.9407822489738464, 0.05918075889348984, 3.700568413478322e-05]"
0,0,"[0.9011986255645752, 0.05607905238866806, 0.042722392827272415]"
2,2,"[0.011340100318193436, 0.3409675657749176, 0.6476923227310181]"
0,1,"[0.02445181831717491, 0.975140392780304, 0.0004078131169080734]"
2,2,"[0.020707160234451294, 0.00030627642991021276, 0.9789865612983704]"
2,2,"[0.10469730943441391, 0.002178874332457781, 0.8931238055229187]"
0,0,"[0.9630102515220642, 0.014215764589607716, 0.022773997858166695]"
1,1,"[7.649169475598683e-08, 0.9999998807907104, 1.7291770446070664e-11]"
1,1,"[1.2493309338446057e-12, 1.0, 7.854579210349669e-14]"
1,1,"[1.5403161796921443e-15, 1.0, 2.3084765249613243e-19]"
2,2,"[0.0018534318078309298, 0.05525756627321243, 0.9428890943527222]"
1,1,"[1.607821076277105e-08, 1.0, 3.990973523881891e-11]"
2,2,"[0.060223206877708435, 0.16838127374649048, 0.7713955640792847]"
2,2,"[0.00801753532141447, 0.1292337328195572, 0.8627487421035767]"
1,1,"[0.06501735001802444, 0.8562657833099365, 0.07871692627668381]"
0,0,"[0.9949793219566345, 0.00496562710031867, 5.498356040334329e-05]"
0,0,"[0.9278428554534912, 0.062421903014183044, 0.009735262021422386]"
0,1,"[0.49358662962913513, 0.506361722946167, 5.162856905371882e-05]"
0,0,"[0.8844924569129944, 0.044472165405750275, 0.07103538513183594]"
0,0,"[0.9905863404273987, 0.002940634498372674, 0.006473028101027012]"
1,1,"[0.07061247527599335, 0.8304066061973572, 0.09898095577955246]"
2,2,"[0.03786461055278778, 0.0006257258937694132, 0.9615097045898438]"
1,1,"[1.2583523632814231e-11, 1.0, 1.0631385144952091e-16]"
0,0,"[0.9760891795158386, 0.006764199584722519, 0.017146645113825798]"
2,2,"[0.05735735222697258, 0.0004220987611915916, 0.9422205090522766]"
1,1,"[5.077337439374219e-10, 1.0, 1.7210746161566703e-09]"
2,2,"[0.06730327010154724, 0.3658379912376404, 0.56685870885849]"
1,1,"[0.035085298120975494, 0.8568264842033386, 0.10808824747800827]"
0,0,"[0.9251385927200317, 0.07485297322273254, 8.47110368340509e-06]"
0,0,"[0.8414391279220581, 0.03596457093954086, 0.12259623408317566]"
1,1,"[1.9052411016039217e-13, 1.0, 4.923801198900268e-17]"
2,2,"[0.46885374188423157, 0.002623804146423936, 0.5285224318504333]"
0,0,"[0.9827829599380493, 0.0171674732118845, 4.9560712795937434e-05]"
1,2,"[0.009150320664048195, 0.3298329710960388, 0.6610167026519775]"
1,1,"[0.027793709188699722, 0.9661282896995544, 0.006078047212213278]"
1,1,"[4.619730134436395e-06, 0.9999953508377075, 6.9466623564551355e-09]"
1,1,"[3.625377081872827e-11, 1.0, 6.380474273925962e-12]"
1,1,"[0.00709139509126544, 0.9923877716064453, 0.0005209048395045102]"
2,2,"[0.08979101479053497, 0.2977224290370941, 0.6124865412712097]"
1,2,"[0.09404812008142471, 0.004358397331088781, 0.9015935063362122]"
1,1,"[0.03839457780122757, 0.9568568468093872, 0.0047486163675785065]"
0,1,"[0.2733081877231598, 0.7266466021537781, 4.5217835577204823e-05]"
0,1,"[0.05483867600560188, 0.9451497793197632, 1.1486060429888312e-05]"
2,2,"[0.03758871182799339, 0.0003026154881808907, 0.9621087312698364]"
1,1,"[7.195539303284093e-11, 1.0, 1.7091879737159317e-15]"
0,0,"[0.8559489846229553, 0.002795882523059845, 0.14125514030456543]"
0,0,"[0.9974374771118164, 0.0025614320766180754, 1.0668170489225304e-06]"
1,1,"[2.3264927311028583e-12, 1.0, 1.246847850830499e-16]"
1,0,"[0.7342333197593689, 0.2650779187679291, 0.0006888341740705073]"
1,1,"[5.051188336722414e-18, 1.0, 9.253986270260881e-25]"
1,1,"[1.0719885049081945e-11, 1.0, 5.6612405871037455e-14]"
1,1,"[1.0197847011284011e-09, 1.0, 8.71621108622378e-10]"
0,1,"[0.025169478729367256, 0.9747840166091919, 4.655725206248462e-05]"
2,2,"[0.003099159337580204, 0.23378491401672363, 0.7631158828735352]"
2,2,"[0.0050583104602992535, 0.0948207750916481, 0.9001208543777466]"
1,1,"[4.463854367607302e-17, 1.0, 1.7380682841812418e-19]"
0,0,"[0.9964678287506104, 0.0023073831107467413, 0.0012248822022229433]"
2,2,"[0.0008794183959253132, 0.19729945063591003, 0.8018211722373962]"
1,1,"[2.347100291899551e-10, 1.0, 1.310276214784578e-13]"
1,1,"[7.221376003684749e-14, 1.0, 9.781988115507114e-18]"
0,0,"[0.9483054876327515, 0.0036420985125005245, 0.048052363097667694]"
0,0,"[0.7790703177452087, 0.22077114880084991, 0.00015854564844630659]"
1,1,"[0.025411264970898628, 0.9743301272392273, 0.00025868721422739327]"
1,1,"[4.782703655337173e-08, 1.0, 1.590481912838726e-11]"
1,0,"[0.8938570618629456, 0.10613670200109482, 6.276638941926649e-06]"
2,2,"[0.09469350427389145, 0.06260193884372711, 0.8427045345306396]"
1,1,"[2.327463777263006e-09, 1.0, 3.1495971466750233e-14]"
0,0,"[0.7643675804138184, 0.2336210012435913, 0.0020113582722842693]"
2,2,"[0.003411519341170788, 0.14042073488235474, 0.856167733669281]"
2,2,"[0.009750999510288239, 0.34390226006507874, 0.6463468074798584]"
1,1,"[4.3390036572402146e-13, 1.0, 2.6030433776351447e-13]"
0,0,"[0.9527355432510376, 0.045484598726034164, 0.0017798745539039373]"
0,0,"[0.5641029477119446, 0.435087651014328, 0.0008093545911833644]"
2,2,"[0.003984420094639063, 0.06531346589326859, 0.9307020902633667]"
0,1,"[0.3320757746696472, 0.6675098538398743, 0.00041440536733716726]"
0,0,"[0.9530783891677856, 0.04682478681206703, 9.677528578322381e-05]"
0,0,"[0.9697968363761902, 0.030187997967004776, 1.511219670646824e-05]"
1,1,"[1.9371148782254544e-11, 1.0, 2.0408454182792475e-14]"
2,2,"[0.010530827566981316, 0.005474519450217485, 0.9839946031570435]"
2,0,"[0.5019873976707458, 0.007775955367833376, 0.49023663997650146]"
1,1,"[0.008072378113865852, 0.9354733824729919, 0.056454259902238846]"
1,1,"[2.670167255705569e-12, 1.0, 2.6095741710650648e-14]"
2,2,"[0.005778588354587555, 0.13293211162090302, 0.8612892627716064]"
0,0,"[0.9436006546020508, 0.008353947661817074, 0.04804534092545509]"
0,0,"[0.7058170437812805, 0.2938145101070404, 0.0003684255061671138]"
0,1,"[0.024845726788043976, 0.9751369953155518, 1.7280330212088302e-05]"
0,0,"[0.9664521217346191, 0.018011363223195076, 0.015536542050540447]"
1,1,"[1.7570401513941625e-12, 1.0, 1.8225548633764473e-14]"
1,1,"[1.4154823979595221e-09, 1.0, 4.649339181879431e-13]"
1,1,"[9.240921485798026e-07, 0.9999990463256836, 6.510967409667501e-08]"
1,1,"[7.582491967639271e-09, 1.0, 6.822266818314049e-13]"
0,0,"[0.9971502423286438, 0.0014528289902955294, 0.0013969807187095284]"
2,2,"[0.002662423299625516, 0.06968827545642853, 0.9276492595672607]"
2,2,"[0.014362853020429611, 0.141107439994812, 0.8445298075675964]"
0,0,"[0.8053709268569946, 0.14286047220230103, 0.051768578588962555]"
0,2,"[0.05278824642300606, 0.15987080335617065, 0.7873409390449524]"
2,2,"[0.09565116465091705, 0.0021564762573689222, 0.9021923542022705]"
1,1,"[1.0231804959499533e-13, 1.0, 8.957237759593767e-17]"
1,1,"[2.680330458450231e-13, 1.0, 4.956329646354997e-16]"
1,1,"[1.0543051154332517e-10, 1.0, 9.714926346021668e-13]"
0,0,"[0.8583522439002991, 0.00541907362639904, 0.13622865080833435]"
2,2,"[0.027043599635362625, 0.001250246074050665, 0.9717061519622803]"
0,2,"[0.2548644244670868, 0.020371591672301292, 0.7247639894485474]"
0,0,"[0.9582716822624207, 0.041690416634082794, 3.796043893089518e-05]"
2,2,"[0.10590669512748718, 0.21849873661994934, 0.6755945682525635]"
1,1,"[0.011101980693638325, 0.6752380132675171, 0.31366002559661865]"
0,0,"[0.9821242690086365, 0.008798823691904545, 0.009076916612684727]"
1,1,"[5.877567876844125e-11, 1.0, 9.920827316123662e-14]"
0,0,"[0.4997328221797943, 0.010334686376154423, 0.4899325370788574]"
1,1,"[1.7388494073442007e-13, 1.0, 6.174435962513769e-11]"
0,0,"[0.9776273965835571, 0.01961613819003105, 0.0027565041091293097]"
2,2,"[0.014728975482285023, 9.662003139965236e-05, 0.9851743578910828]"
1,1,"[4.2289521884342207e-10, 1.0, 4.450654688542555e-12]"
1,1,"[0.09058386087417603, 0.9094123840332031, 3.761203743124497e-06]"
2,2,"[0.0017482861876487732, 0.03382323682308197, 0.9644284248352051]"
2,2,"[0.055678658187389374, 0.0055486662313342094, 0.9387726783752441]"
0,0,"[0.5528901815414429, 0.13946187496185303, 0.3076479136943817]"
0,0,"[0.7145554423332214, 0.2854059934616089, 3.8600781408604234e-05]"
0,1,"[0.17610979080200195, 0.8237825036048889, 0.00010768778884084895]"
1,1,"[4.896350547234363e-10, 1.0, 1.2809580653139196e-11]"
2,2,"[0.07948096096515656, 0.0028853770345449448, 0.9176337122917175]"
2,2,"[0.023574696853756905, 0.20398221909999847, 0.7724431157112122]"
0,0,"[0.9962779879570007, 0.0034834970720112324, 0.0002384980471106246]"
2,2,"[0.09428292512893677, 0.0016424610512331128, 0.9040746092796326]"
2,0,"[0.6712506413459778, 0.005784003995358944, 0.3229653537273407]"
1,1,"[0.0531972199678421, 0.9467896223068237, 1.3181356735003646e-05]"
1,0,"[0.8559992909431458, 0.1436929702758789, 0.0003077346191275865]"
0,0,"[0.9153784513473511, 0.005001860670745373, 0.07961969077587128]"
2,2,"[0.21852202713489532, 0.005246427841484547, 0.776231586933136]"
0,0,"[0.9278428554534912, 0.062421903014183044, 0.009735262021422386]"
2,1,"[0.23942500352859497, 0.4595547616481781, 0.30102023482322693]"
0,2,"[0.10440689325332642, 0.035279493778944016, 0.8603135943412781]"
0,0,"[0.9839072227478027, 0.015539438463747501, 0.000553363875951618]"
0,0,"[0.8249368667602539, 0.17456845939159393, 0.0004946350236423314]"
0,0,"[0.9086207151412964, 0.08460767567157745, 0.00677160220220685]"
1,1,"[0.03276517242193222, 0.9412335753440857, 0.026001250371336937]"
0,0,"[0.9177855849266052, 0.08217081427574158, 4.3587471736827865e-05]"
2,2,"[0.024365345016121864, 0.2871290147304535, 0.6885056495666504]"
2,2,"[0.04194173216819763, 0.23725417256355286, 0.7208041548728943]"
1,1,"[0.03209739178419113, 0.9660012722015381, 0.0019013541750609875]"
1,1,"[2.5518514384925695e-11, 1.0, 3.1959179226659362e-12]"
0,0,"[0.9577996134757996, 0.04219585284590721, 4.608529707184061e-06]"
2,0,"[0.967941164970398, 0.0053236279636621475, 0.02673516236245632]"
2,2,"[0.01203707605600357, 0.20047512650489807, 0.7874877452850342]"
0,0,"[0.9940220713615417, 0.0032547470182180405, 0.0027232137508690357]"
2,2,"[0.11753662675619125, 0.001566799357533455, 0.8808966875076294]"
2,2,"[0.25432682037353516, 0.0032930728048086166, 0.7423802018165588]"
2,2,"[0.173393115401268, 0.00188367476221174, 0.8247232437133789]"
0,0,"[0.9879602193832397, 0.003101607318967581, 0.008938279002904892]"
2,0,"[0.5014721155166626, 0.014045425690710545, 0.4844825267791748]"
1,1,"[2.3703173104849817e-11, 1.0, 2.2911118057540765e-14]"
1,1,"[0.1242721676826477, 0.8756842017173767, 4.363378684502095e-05]"
2,2,"[0.035624682903289795, 0.41380032896995544, 0.5505750179290771]"
1,1,"[3.95849412276883e-12, 1.0, 2.3410574694071595e-12]"
0,0,"[0.8662274479866028, 0.006018864922225475, 0.12775367498397827]"
0,0,"[0.6519718170166016, 0.30199527740478516, 0.04603290930390358]"
0,0,"[0.9579343199729919, 0.0022750969510525465, 0.039790600538253784]"
0,1,"[0.009777345694601536, 0.990222692489624, 1.1994932158643223e-08]"
0,0,"[0.9887003302574158, 0.011297423392534256, 2.2051867745176423e-06]"
2,2,"[0.03060995601117611, 0.0008812389569357038, 0.968508780002594]"
0,0,"[0.9951005578041077, 0.0034845902118831873, 0.001414867932908237]"
0,0,"[0.8045176267623901, 0.1916690319776535, 0.003813280025497079]"
2,2,"[0.0006131820264272392, 0.13427703082561493, 0.8651098012924194]"
2,2,"[0.0015609955880790949, 0.03134193643927574, 0.9670971035957336]"
2,2,"[0.15303869545459747, 0.0016881490591913462, 0.8452731966972351]"
0,0,"[0.9886599779129028, 0.005661560222506523, 0.00567853357642889]"
0,0,"[0.852257251739502, 0.01391547080129385, 0.13382728397846222]"
2,2,"[0.025269879028201103, 0.0009422859293408692, 0.9737879037857056]"
0,1,"[0.08139793574810028, 0.9185964465141296, 5.595708898908924e-06]"
2,2,"[0.0025458435993641615, 0.055453162640333176, 0.9420009851455688]"
0,0,"[0.854782223701477, 0.003844638355076313, 0.1413731426000595]"
2,2,"[0.0026074200868606567, 0.04167933389544487, 0.9557132720947266]"
0,0,"[0.99661785364151, 0.0033741469960659742, 8.109010195767041e-06]"
2,2,"[0.00334686366841197, 0.42589014768600464, 0.5707629919052124]"
2,2,"[0.17159904539585114, 0.0002434909692965448, 0.8281575441360474]"
1,2,"[0.004858565051108599, 0.18277353048324585, 0.8123679161071777]"
0,0,"[0.9256206154823303, 0.019436078146100044, 0.05494328588247299]"
0,0,"[0.9734050631523132, 0.006355214398354292, 0.020239729434251785]"
0,1,"[0.4630695581436157, 0.5369083881378174, 2.204617157985922e-05]"
1,1,"[0.030947860330343246, 0.9690520763397217, 1.1869289551214024e-08]"
1,1,"[0.08323370665311813, 0.9166244864463806, 0.0001417755411239341]"
2,0,"[0.5791612267494202, 0.32478460669517517, 0.09605418145656586]"
1,1,"[0.1063004583120346, 0.8920274972915649, 0.0016720067942515016]"
1,1,"[4.778868967214578e-10, 1.0, 1.2210062128037436e-10]"
0,0,"[0.5838282108306885, 0.03848486766219139, 0.3776869773864746]"
0,1,"[0.05323495343327522, 0.9420475959777832, 0.004717450588941574]"
0,0,"[0.988498866558075, 0.010675079189240932, 0.0008260409231297672]"
0,0,"[0.9968926310539246, 0.0018999753519892693, 0.0012074306141585112]"
1,1,"[2.204827820494128e-15, 1.0, 7.056964733964858e-20]"
2,0,"[0.7327542304992676, 0.0020586575847119093, 0.2651870846748352]"
1,1,"[0.01316574215888977, 0.9859707951545715, 0.0008634748519398272]"
1,1,"[3.284123840929798e-12, 1.0, 1.1540799342384372e-14]"
1,1,"[2.1105626968331848e-10, 1.0, 1.906467876362089e-15]"
2,2,"[0.002388188848271966, 0.06231603026390076, 0.9352957010269165]"
2,2,"[0.001985692186281085, 0.06220807135105133, 0.9358062148094177]"
0,0,"[0.8635477423667908, 0.13479399681091309, 0.0016582896932959557]"
2,2,"[0.46281948685646057, 0.005943235009908676, 0.5312373042106628]"
1,1,"[6.720464462706133e-11, 1.0, 2.0169411280024363e-11]"
2,2,"[0.05753422901034355, 0.2737654745578766, 0.6687003374099731]"
2,2,"[0.003248777939006686, 0.1653681993484497, 0.8313829898834229]"
0,0,"[0.9804154634475708, 0.0036913645453751087, 0.01589319109916687]"
0,1,"[0.14317668974399567, 0.856820821762085, 2.5473166260781e-06]"
1,1,"[1.0763592100948571e-10, 1.0, 1.4212785462430766e-11]"
1,1,"[1.581898914082558e-07, 0.9999998807907104, 2.269514354225066e-09]"
2,2,"[0.001915337867103517, 0.06254566460847855, 0.9355390071868896]"
1,1,"[1.041726926075126e-12, 1.0, 4.911716172673053e-11]"
1,1,"[0.02235514111816883, 0.97763592004776, 8.979690392152406e-06]"
1,1,"[0.07385597378015518, 0.9184523224830627, 0.007691694423556328]"
1,1,"[1.9926912897538784e-10, 1.0, 5.093747298956508e-11]"
0,0,"[0.9524909853935242, 0.04749933257699013, 9.663013770477846e-06]"
2,2,"[0.06312747299671173, 0.0008313528378494084, 0.9360412359237671]"
2,2,"[0.13935121893882751, 0.00419995654374361, 0.8564488291740417]"
0,0,"[0.9813924431800842, 0.017155179753899574, 0.0014522980200126767]"
1,1,"[6.388926010458817e-08, 0.9999998807907104, 5.906494043861343e-11]"
0,0,"[0.9932348132133484, 0.004594254307448864, 0.0021709203720092773]"
0,1,"[0.2978314459323883, 0.7021247148513794, 4.3879295844817534e-05]"
0,0,"[0.9059610962867737, 0.08962912112474442, 0.004409784451127052]"
1,1,"[0.011538072489202023, 0.9865362048149109, 0.0019257565727457404]"
0,0,"[0.9923427700996399, 0.007657180540263653, 3.117565927635013e-11]"
0,0,"[0.9319126605987549, 0.0664718821644783, 0.0016154985642060637]"
0,0,"[0.6214723587036133, 0.37793686985969543, 0.000590767536778003]"
2,0,"[0.7400294542312622, 0.019170692190527916, 0.2407999485731125]"
1,1,"[0.3124024569988251, 0.5901284217834473, 0.09746915847063065]"
0,1,"[0.2291782945394516, 0.7052021026611328, 0.06561959534883499]"
2,2,"[0.004535029176622629, 0.10597283393144608, 0.8894920945167542]"
0,0,"[0.6596550941467285, 0.3403403162956238, 4.652781626646174e-06]"
2,2,"[0.0024641326162964106, 0.04695844277739525, 0.950577437877655]"
1,1,"[7.417223085726121e-12, 1.0, 3.156520726223244e-13]"
0,0,"[0.6702414155006409, 0.32780441641807556, 0.0019541813526302576]"
1,1,"[0.12057460844516754, 0.8794251680374146, 1.7415945308130176e-07]"
1,1,"[9.645935817399667e-15, 1.0, 2.9569822477937767e-19]"
1,1,"[4.825170211303353e-13, 1.0, 4.026703575205114e-15]"
0,0,"[0.9939729571342468, 0.0007083647069521248, 0.005318643990904093]"
